"site_ID","n_obs","Estimate","se","cv","lcl","ucl","df","model","species","survey"
"209-502-0002",1,0.181840206013985,0.427486195268965,2.35088930352448,7.51228699530942e-09,4401570.45968217,1.00996983821352,"GG_all","GG","3"
"297-806-0001",4,0.72736082405594,0.86129477077291,1.18413687167,1.39400930685063e-05,37951.9538192025,1.04017187724585,"GG_all","GG","3"
"299-510-0007",2,0.36368041202797,0.606050638605533,1.66643739547601,3.06543266281566e-07,431467.452204111,1.01998844401398,"GG_all","GG","3"
"299-944-0002 (NAR)",9,1.63656185412586,1.30759526833655,0.798989213294949,0.00106213899451939,2521.64238032878,1.09148245282165,"GG_all","GG","3"
"300-910-0007",3,0.545520618041955,0.744082514394435,1.36398605256238,2.85237721933545e-06,104331.482768682,1.03005579717381,"GG_all","GG","3"
"Babbington",3,0.545520618041955,0.744082514394435,1.36398605256238,2.85237721933545e-06,104331.482768682,1.03005579717381,"GG_all","GG","3"
"Backdoor",2,0.36368041202797,0.606050638605533,1.66643739547601,3.06543266281566e-07,431467.452204111,1.01998844401398,"GG_all","GG","3"
"Castella",4,0.72736082405594,0.86129477077291,1.18413687167,1.39400930685063e-05,37951.9538192025,1.04017187724585,"GG_all","GG","3"
"Davis",3,0.545520618041955,0.744082514394435,1.36398605256238,2.85237721933545e-06,104331.482768682,1.03005579717381,"GG_all","GG","3"
"Gags",4,0.72736082405594,0.86129477077291,1.18413687167,1.39400930685063e-05,37951.9538192025,1.04017187724585,"GG_all","GG","3"
"Ginters",5,0.909201030069924,0.96530153753175,1.0617030839236,4.72819006821515e-05,17483.3604646579,1.05033666362958,"GG_all","GG","3"
"Kinglake",11,2.00024226615383,1.45246529838969,0.726144689054374,0.00290583308857872,1376.87506520381,1.11234703462874,"GG_all","GG","3"
"Mash",4,0.72736082405594,0.86129477077291,1.18413687167,1.39400930685063e-05,37951.9538192025,1.04017187724585,"GG_all","GG","3"
"Merger",1,0.181840206013985,0.427486195268965,2.35088930352448,7.51228699530942e-09,4401570.45968217,1.00996983821352,"GG_all","GG","3"
"Osborne",5,0.909201030069924,0.96530153753175,1.0617030839236,4.72819006821515e-05,17483.3604646579,1.05033666362958,"GG_all","GG","3"
"Troop",16,2.90944329622376,1.7722666350668,0.609142868454273,0.017075414285132,495.733816620304,1.16535783597745,"GG_all","GG","3"
"United",1,0.181840206013985,0.427486195268965,2.35088930352448,7.51228699530942e-09,4401570.45968217,1.00996983821352,"GG_all","GG","3"
